speed,period,warning,pair
26.00,1.00,1.00,1.00
26.00,1.00,1.00,1.00
26.00,1.00,1.00,1.00
26.00,1.00,1.00,1.00
27.00,1.00,1.00,1.00
28.00,1.00,1.00,1.00
28.00,1.00,1.00,1.00
28.00,1.00,1.00,1.00
28.00,1.00,1.00,1.00
29.00,1.00,1.00,1.00
29.00,1.00,1.00,1.00
29.00,1.00,1.00,1.00
29.00,1.00,1.00,1.00
29.00,1.00,1.00,1.00
29.00,1.00,1.00,1.00
29.00,1.00,1.00,1.00
29.00,1.00,1.00,1.00
30.00,1.00,1.00,1.00
30.00,1.00,1.00,1.00
30.00,1.00,1.00,1.00
31.00,1.00,1.00,1.00
31.00,1.00,1.00,1.00
31.00,1.00,1.00,1.00
31.00,1.00,1.00,1.00
31.00,1.00,1.00,1.00
31.00,1.00,1.00,1.00
31.00,1.00,1.00,1.00
31.00,1.00,1.00,1.00
31.00,1.00,1.00,1.00
31.00,1.00,1.00,1.00
32.00,1.00,1.00,1.00
32.00,1.00,1.00,1.00
32.00,1.00,1.00,1.00
32.00,1.00,1.00,1.00
32.00,1.00,1.00,1.00
32.00,1.00,1.00,1.00
32.00,1.00,1.00,1.00
32.00,1.00,1.00,1.00
32.00,1.00,1.00,1.00
32.00,1.00,1.00,1.00
33.00,1.00,1.00,1.00
33.00,1.00,1.00,1.00
33.00,1.00,1.00,1.00
33.00,1.00,1.00,1.00
33.00,1.00,1.00,1.00
33.00,1.00,1.00,1.00
34.00,1.00,1.00,1.00
34.00,1.00,1.00,1.00
34.00,1.00,1.00,1.00
34.00,1.00,1.00,1.00
34.00,1.00,1.00,1.00
34.00,1.00,1.00,1.00
34.00,1.00,1.00,1.00
34.00,1.00,1.00,1.00
34.00,1.00,1.00,1.00
35.00,1.00,1.00,1.00
35.00,1.00,1.00,1.00
35.00,1.00,1.00,1.00
35.00,1.00,1.00,1.00
36.00,1.00,1.00,1.00
36.00,1.00,1.00,1.00
36.00,1.00,1.00,1.00
36.00,1.00,1.00,1.00
36.00,1.00,1.00,1.00
36.00,1.00,1.00,1.00
36.00,1.00,1.00,1.00
36.00,1.00,1.00,1.00
36.00,1.00,1.00,1.00
36.00,1.00,1.00,1.00
37.00,1.00,1.00,1.00
37.00,1.00,1.00,1.00
37.00,1.00,1.00,1.00
37.00,1.00,1.00,1.00
37.00,1.00,1.00,1.00
37.00,1.00,1.00,1.00
38.00,1.00,1.00,1.00
38.00,1.00,1.00,1.00
38.00,1.00,1.00,1.00
38.00,1.00,1.00,1.00
38.00,1.00,1.00,1.00
38.00,1.00,1.00,1.00
38.00,1.00,1.00,1.00
38.00,1.00,1.00,1.00
39.00,1.00,1.00,1.00
39.00,1.00,1.00,1.00
39.00,1.00,1.00,1.00
40.00,1.00,1.00,1.00
40.00,1.00,1.00,1.00
41.00,1.00,1.00,1.00
42.00,1.00,1.00,1.00
43.00,1.00,1.00,1.00
43.00,1.00,1.00,1.00
43.00,1.00,1.00,1.00
44.00,1.00,1.00,1.00
44.00,1.00,1.00,1.00
45.00,1.00,1.00,1.00
45.00,1.00,1.00,1.00
46.00,1.00,1.00,1.00
46.00,1.00,1.00,1.00
49.00,1.00,1.00,1.00
26.00,2.00,1.00,1.00
27.00,2.00,1.00,1.00
28.00,2.00,1.00,1.00
28.00,2.00,1.00,1.00
29.00,2.00,1.00,1.00
29.00,2.00,1.00,1.00
29.00,2.00,1.00,1.00
29.00,2.00,1.00,1.00
30.00,2.00,1.00,1.00
30.00,2.00,1.00,1.00
30.00,2.00,1.00,1.00
31.00,2.00,1.00,1.00
31.00,2.00,1.00,1.00
31.00,2.00,1.00,1.00
31.00,2.00,1.00,1.00
31.00,2.00,1.00,1.00
31.00,2.00,1.00,1.00
31.00,2.00,1.00,1.00
31.00,2.00,1.00,1.00
31.00,2.00,1.00,1.00
31.00,2.00,1.00,1.00
31.00,2.00,1.00,1.00
32.00,2.00,1.00,1.00
32.00,2.00,1.00,1.00
32.00,2.00,1.00,1.00
32.00,2.00,1.00,1.00
32.00,2.00,1.00,1.00
32.00,2.00,1.00,1.00
32.00,2.00,1.00,1.00
32.00,2.00,1.00,1.00
